,US Large Cap Equities,US Small Cap Equities,US Investment Grade Bonds,US High Yield Bonds,US Bank Loans,Developed Country Equities,Emerging Market Equities,Emerging Market Debt,Sentiment Score
2008-04-08,744.958,711.92,1688.705,583.71,1660.39,2109.08,1153.56,562.2236,-0.210534
2008-04-09,738.417,698.378,1697.778,583.322,1662.92,2098.13,1150.37,562.9062,-0.217504
2008-04-10,742.152,707.423,1691.224,582.147,1665.11,2093.19,1158.78,563.6998,-0.229849
2008-04-11,727.178,688.164,1696.71,582.573,1667.22,2085.38,1160.36,564.3425,-0.231988
2008-04-14,724.858,686.073,1694.411,582.236,1668.79,2061.17,1145.26,564.6485,-0.234031
2008-04-15,728.12,692.062,1689.089,583.021,1670.93,2066.99,1150.83,564.6071,-0.233311
2008-04-16,744.939,713.386,1677.84,584.351,1672.79,2115.44,1164.99,564.6399,-0.231309
2008-04-17,745.043,707.999,1676.254,584.949,1675.74,2106.77,1174.26,564.0381,-0.24405
2008-04-18,758.189,721.067,1679.925,589.161,1679.24,2116.31,1175.85,564.0788,-0.247906
2008-04-21,757.128,718.005,1686.149,590.517,1686.98,2139.99,1187.0,563.5644,-0.198263
2008-04-22,750.328,703.712,1687.654,591.579,1689.33,2131.55,1189.74,563.0667,-0.193578
2008-04-23,752.376,708.11,1688.515,592.143,1691.82,2134.18,1192.1,562.9928,-0.193287
2008-04-24,757.193,717.073,1680.091,592.325,1693.99,2111.97,1187.15,562.2528,-0.191371
2008-04-25,762.52,721.881,1677.825,593.09,1696.0,2135.77,1189.01,561.0183,-0.194031
2008-04-28,761.909,725.371,1684.816,594.46,1699.0,2149.62,1194.38,561.891,-0.213446
2008-04-29,758.668,718.926,1687.664,594.881,1702.36,2138.39,1180.17,562.4927,-0.223754
2008-04-30,756.03,716.176,1697.287,596.707,1704.76,2139.53,1191.53,564.364,-0.249655
2008-05-01,768.552,729.747,1700.154,597.981,1706.62,2126.61,1192.83,567.0499,-0.246646
2008-05-02,771.023,725.741,1695.74,600.098,1709.51,2158.05,1207.46,566.643,-0.248175
2008-05-05,768.027,724.349,1697.433,600.572,1713.65,2164.1,1209.8,566.8616,-0.238434
